image_path,ripeness_class,estimated_day,ttl_days_left
train/Class B/8097.png,Class B,10,18
train/Class B/8068.png,Class B,8,20
train/Class B/296.png,Class B,9,19
train/Class B/297.png,Class B,12,16
train/Class B/8069.png,Class B,7,21
train/Class B/8082.png,Class B,12,16
train/Class B/532.png,Class B,12,16
train/Class B/7164.png,Class B,13,15
train/Class B/7170.png,Class B,8,20
train/Class B/7158.png,Class B,9,19
train/Class B/7004.png,Class B,9,19
train/Class B/122.png,Class B,7,21
train/Class B/491.png,Class B,9,19
train/Class B/8121.png,Class B,11,17
train/Class B/34 (2).png,Class B,14,14
train/Class B/452.png,Class B,14,14
train/Class B/334.png,Class B,7,21
train/Class B/446.png,Class B,11,17
train/Class B/308.png,Class B,11,17
train/Class B/481.png,Class B,9,19
train/Class B/8125.png,Class B,10,18
train/Class B/495.png,Class B,7,21
train/Class B/7106 (2).png,Class B,13,15
train/Class B/245 (2).png,Class B,13,15
train/Class B/7014.png,Class B,10,18
train/Class B/33.png,Class B,12,16
train/Class B/151 (2).png,Class B,14,14
train/Class B/7160.png,Class B,9,19
train/Class B/536.png,Class B,11,17
train/Class B/8086.png,Class B,12,16
train/Class B/250.png,Class B,9,19
train/Class B/522.png,Class B,14,14
train/Class B/278.png,Class B,13,15
train/Class B/293.png,Class B,12,16
train/Class B/8045.png,Class B,9,19
train/Class B/8079.png,Class B,14,14
train/Class B/8105 (2).png,Class B,10,18
train/Class B/245.png,Class B,12,16
train/Class B/523.png,Class B,11,17
train/Class B/537.png,Class B,11,17
train/Class B/251.png,Class B,11,17
train/Class B/7161.png,Class B,11,17
train/Class B/7175.png,Class B,8,20
train/Class B/32.png,Class B,10,18
train/Class B/7015.png,Class B,8,20
train/Class B/133.png,Class B,11,17
train/Class B/494.png,Class B,9,19
train/Class B/480.png,Class B,11,17
train/Class B/535 (2).png,Class B,8,20
train/Class B/208 (2).png,Class B,14,14
train/Class B/360 (2).png,Class B,13,15
train/Class B/327.png,Class B,8,20
train/Class B/441.png,Class B,11,17
train/Class B/496.png,Class B,13,15
train/Class B/8126.png,Class B,9,19
train/Class B/148 (2).png,Class B,12,16
train/Class B/482.png,Class B,7,21
train/Class B/131.png,Class B,9,19
train/Class B/7015 (2).png,Class B,10,18
train/Class B/119.png,Class B,10,18
train/Class B/7017.png,Class B,10,18
train/Class B/18.png,Class B,8,20
train/Class B/7003.png,Class B,14,14
train/Class B/7177.png,Class B,12,16
train/Class B/8085.png,Class B,14,14
train/Class B/253.png,Class B,7,21
train/Class B/535.png,Class B,11,17
train/Class B/8123 (2).png,Class B,11,17
train/Class B/8052.png,Class B,11,17
train/Class B/290.png,Class B,14,14
train/Class B/561 (2).png,Class B,12,16
train/Class B/8047.png,Class B,9,19
train/Class B/8053.png,Class B,7,21
train/Class B/8084.png,Class B,8,20
train/Class B/534.png,Class B,13,15
train/Class B/246.png,Class B,10,18
train/Class B/7176.png,Class B,9,19
train/Class B/369 (2).png,Class B,10,18
train/Class B/273 (2).png,Class B,7,21
train/Class B/19.png,Class B,10,18
train/Class B/7002.png,Class B,7,21
train/Class B/7016.png,Class B,7,21
train/Class B/118.png,Class B,13,15
train/Class B/130.png,Class B,14,14
train/Class B/326.png,Class B,14,14
train/Class B/454.png,Class B,9,19
train/Class B/433.png,Class B,10,18
train/Class B/427.png,Class B,9,19
train/Class B/153 (2).png,Class B,14,14
train/Class B/8168.png,Class B,14,14
train/Class B/8140.png,Class B,11,17
train/Class B/619.png,Class B,12,16
train/Class B/194.png,Class B,9,19
train/Class B/7176 (2).png,Class B,14,14
train/Class B/7139.png,Class B,8,20
train/Class B/7105.png,Class B,11,17
train/Class B/7111.png,Class B,13,15
train/Class B/547.png,Class B,11,17
train/Class B/8008.png,Class B,9,19
train/Class B/590.png,Class B,8,20
train/Class B/8021.png,Class B,7,21
train/Class B/591.png,Class B,10,18
train/Class B/7021 (2).png,Class B,7,21
train/Class B/7159 (2).png,Class B,7,21
train/Class B/8009.png,Class B,11,17
train/Class B/234.png,Class B,12,16
train/Class B/552.png,Class B,7,21
train/Class B/546.png,Class B,8,20
train/Class B/7110.png,Class B,9,19
train/Class B/8165 (2).png,Class B,10,18
train/Class B/7138.png,Class B,12,16
train/Class B/8203 (2).png,Class B,9,19
train/Class B/7070.png,Class B,7,21
train/Class B/195.png,Class B,13,15
train/Class B/5.png,Class B,8,20
train/Class B/310 (2).png,Class B,11,17
train/Class B/94.png,Class B,14,14
train/Class B/397.png,Class B,10,18
train/Class B/8169.png,Class B,13,15
train/Class B/418.png,Class B,14,14
train/Class B/424.png,Class B,13,15
train/Class B/342.png,Class B,10,18
train/Class B/2 (2).png,Class B,8,20
train/Class B/8188 (2).png,Class B,9,19
train/Class B/8143.png,Class B,14,14
train/Class B/41.png,Class B,7,21
train/Class B/7.png,Class B,13,15
train/Class B/7072.png,Class B,12,16
train/Class B/8143 (2).png,Class B,10,18
train/Class B/7112.png,Class B,13,15
train/Class B/7106.png,Class B,10,18
train/Class B/550.png,Class B,13,15
train/Class B/593.png,Class B,13,15
train/Class B/8023.png,Class B,12,16
train/Class B/586.png,Class B,10,18
train/Class B/223.png,Class B,13,15
train/Class B/545.png,Class B,11,17
train/Class B/434 (2).png,Class B,12,16
train/Class B/551.png,Class B,13,15
train/Class B/237.png,Class B,13,15
train/Class B/7107.png,Class B,8,20
train/Class B/7073.png,Class B,13,15
train/Class B/182.png,Class B,11,17
train/Class B/141.png,Class B,11,17
train/Class B/169.png,Class B,14,14
train/Class B/7098.png,Class B,12,16
train/Class B/425.png,Class B,10,18
train/Class B/419.png,Class B,12,16
train/Class B/421.png,Class B,11,17
train/Class B/435.png,Class B,14,14
train/Class B/353.png,Class B,14,14
train/Class B/8185.png,Class B,7,21
train/Class B/327 (2).png,Class B,12,16
train/Class B/384.png,Class B,14,14
train/Class B/151.png,Class B,8,20
train/Class B/87.png,Class B,12,16
train/Class B/93.png,Class B,9,19
train/Class B/78.png,Class B,7,21
train/Class B/186.png,Class B,11,17
train/Class B/2.png,Class B,13,15
train/Class B/50.png,Class B,12,16
train/Class B/7016 (2).png,Class B,12,16
train/Class B/233.png,Class B,9,19
train/Class B/8026.png,Class B,12,16
train/Class B/583.png,Class B,14,14
train/Class B/8027.png,Class B,11,17
train/Class B/597.png,Class B,13,15
train/Class B/568.png,Class B,7,21
train/Class B/7133 (2).png,Class B,10,18
train/Class B/106 (2).png,Class B,8,20
train/Class B/3.png,Class B,10,18
train/Class B/51.png,Class B,9,19
train/Class B/7076.png,Class B,13,15
train/Class B/79.png,Class B,11,17
train/Class B/92.png,Class B,12,16
train/Class B/150.png,Class B,12,16
train/Class B/8147.png,Class B,14,14
train/Class B/385.png,Class B,9,19
train/Class B/434.png,Class B,8,20
train/Class B/8184.png,Class B,14,14
train/Class B/352.png,Class B,13,15
train/Class B/346.png,Class B,9,19
train/Class B/350.png,Class B,12,16
train/Class B/8186.png,Class B,11,17
train/Class B/436.png,Class B,8,20
train/Class B/344.png,Class B,14,14
train/Class B/378.png,Class B,7,21
train/Class B/387.png,Class B,9,19
train/Class B/152.png,Class B,11,17
train/Class B/191.png,Class B,14,14
train/Class B/7074.png,Class B,8,20
train/Class B/1.png,Class B,9,19
train/Class B/8023 (2).png,Class B,8,20
train/Class B/47.png,Class B,8,20
train/Class B/7100.png,Class B,8,20
train/Class B/7128.png,Class B,8,20
train/Class B/224.png,Class B,13,15
train/Class B/7115 (2).png,Class B,13,15
train/Class B/199 (2).png,Class B,10,18
train/Class B/387 (2).png,Class B,8,20
train/Class B/373 (2).png,Class B,9,19
train/Class B/8024.png,Class B,9,19
train/Class B/7129.png,Class B,14,14
train/Class B/7148 (2).png,Class B,7,21
train/Class B/7049.png,Class B,13,15
train/Class B/0.png,Class B,9,19
train/Class B/7075.png,Class B,10,18
train/Class B/190.png,Class B,8,20
train/Class B/91.png,Class B,13,15
train/Class B/8178.png,Class B,10,18
train/Class B/269 (2).png,Class B,13,15
train/Class B/301 (2).png,Class B,13,15
train/Class B/423.png,Class B,7,21
train/Class B/345.png,Class B,12,16
train/Class B/8187.png,Class B,7,21
train/Class D/348.png,Class D,25,3
train/Class D/9148 (2).png,Class D,27,1
train/Class D/360.png,Class D,27,1
train/Class D/9082.png,Class D,24,4
train/Class D/9096.png,Class D,24,4
train/Class D/77.png,Class D,23,5
train/Class D/63.png,Class D,24,4
train/Class D/9121.png,Class D,23,5
train/Class D/9109.png,Class D,25,3
train/Class D/228.png,Class D,28,0
train/Class D/572.png,Class D,24,4
train/Class D/598.png,Class D,28,0
train/Class D/201.png,Class D,24,4
train/Class D/229.png,Class D,25,3
train/Class D/9108.png,Class D,27,1
train/Class D/9120.png,Class D,26,2
train/Class D/349 (2).png,Class D,28,0
train/Class D/157 (2).png,Class D,23,5
train/Class D/9068.png,Class D,28,0
train/Class D/9040.png,Class D,25,3
train/Class D/177.png,Class D,28,0
train/Class D/611.png,Class D,25,3
train/Class D/89.png,Class D,23,5
train/Class D/8160.png,Class D,27,1
train/Class D/361.png,Class D,25,3
train/Class D/349.png,Class D,23,5
train/Class D/439.png,Class D,25,3
train/Class D/411.png,Class D,27,1
train/Class D/8176.png,Class D,26,2
train/Class D/265 (2).png,Class D,27,1
train/Class D/9095.png,Class D,26,2
train/Class D/9081.png,Class D,25,3
train/Class D/558 (2).png,Class D,26,2
train/Class D/9133 (2).png,Class D,25,3
train/Class D/514 (3).png,Class D,27,1
train/Class D/9039 (2).png,Class D,23,5
train/Class D/217.png,Class D,26,2
train/Class D/203.png,Class D,23,5
train/Class D/9080 (2).png,Class D,28,0
train/Class D/216.png,Class D,27,1
train/Class D/9057.png,Class D,23,5
train/Class D/174.png,Class D,25,3
train/Class D/9080.png,Class D,23,5
train/Class D/8163.png,Class D,26,2
train/Class D/404.png,Class D,23,5
train/Class D/362.png,Class D,26,2
train/Class D/366.png,Class D,25,3
train/Class D/400.png,Class D,23,5
train/Class D/399.png,Class D,25,3
train/Class D/9122 (2).png,Class D,24,4
train/Class D/602.png,Class D,28,0
train/Class D/170.png,Class D,28,0
train/Class D/158.png,Class D,24,4
train/Class D/9084.png,Class D,25,3
train/Class D/59.png,Class D,23,5
train/Class D/65.png,Class D,27,1
train/Class D/9047.png,Class D,28,0
train/Class D/9081 (2).png,Class D,28,0
train/Class D/9133.png,Class D,25,3
train/Class D/574.png,Class D,28,0
train/Class D/9028 (2).png,Class D,26,2
train/Class D/9150 (2).png,Class D,25,3
train/Class D/548.png,Class D,27,1
train/Class D/9046.png,Class D,25,3
train/Class D/64.png,Class D,23,5
train/Class D/58.png,Class D,23,5
train/Class D/514 (2).png,Class D,25,3
train/Class D/9017 (2).png,Class D,27,1
train/Class D/603.png,Class D,25,3
train/Class D/367.png,Class D,26,2
train/Class D/401.png,Class D,28,0
train/Class D/403.png,Class D,27,1
train/Class D/359.png,Class D,27,1
train/Class D/9098 (2).png,Class D,27,1
train/Class D/8164.png,Class D,28,0
train/Class D/8158.png,Class D,25,3
train/Class D/9159 (2).png,Class D,27,1
train/Class D/167.png,Class D,25,3
train/Class D/99.png,Class D,26,2
train/Class D/9093.png,Class D,25,3
train/Class D/8.png,Class D,26,2
train/Class D/72.png,Class D,25,3
train/Class D/9050.png,Class D,27,1
train/Class D/198.png,Class D,26,2
train/Class D/9118.png,Class D,27,1
train/Class D/9130.png,Class D,26,2
train/Class D/205.png,Class D,26,2
train/Class D/577.png,Class D,24,4
train/Class D/9182 (2).png,Class D,26,2
train/Class D/576.png,Class D,24,4
train/Class D/156 (2).png,Class D,25,3
train/Class D/204.png,Class D,28,0
train/Class D/953.png,Class D,26,2
train/Class D/9119.png,Class D,24,4
train/Class D/199.png,Class D,26,2
train/Class D/67.png,Class D,25,3
train/Class D/9.png,Class D,26,2
train/Class D/9086.png,Class D,26,2
train/Class D/172.png,Class D,23,5
train/Class D/358.png,Class D,27,1
train/Class D/402.png,Class D,28,0
train/Class D/364.png,Class D,25,3
train/Class D/9093 (2).png,Class D,27,1
train/Class D/303.png,Class D,26,2
train/Class D/8102.png,Class D,28,0
train/Class D/101.png,Class D,25,3
train/Class D/9036.png,Class D,23,5
train/Class D/28.png,Class D,27,1
train/Class D/9152 (2).png,Class D,28,0
train/Class D/9142 (2).png,Class D,24,4
train/Class D/9195.png,Class D,26,2
train/Class D/9181.png,Class D,26,2
train/Class D/9120 (2).png,Class D,27,1
train/Class D/9142.png,Class D,27,1
train/Class D/423 (2).png,Class D,28,0
train/Class D/263.png,Class D,24,4
train/Class D/288.png,Class D,28,0
train/Class D/8077.png,Class D,23,5
train/Class D/9015 (2).png,Class D,23,5
train/Class D/9005 (2).png,Class D,28,0
train/Class D/510.png,Class D,27,1
train/Class D/262.png,Class D,25,3
train/Class D/9143.png,Class D,26,2
train/Class D/9194.png,Class D,28,0
train/Class D/9037.png,Class D,25,3
train/Class D/9023.png,Class D,28,0
train/Class D/100.png,Class D,26,2
train/Class D/388 (2).png,Class D,27,1
train/Class D/114.png,Class D,28,0
train/Class D/128.png,Class D,25,3
train/Class D/464.png,Class D,26,2
train/Class D/9129 (2).png,Class D,23,5
train/Class D/9139 (2).png,Class D,26,2
train/Class D/328.png,Class D,24,4
train/Class D/466.png,Class D,26,2
train/Class D/472.png,Class D,25,3
train/Class D/314.png,Class D,24,4
train/Class D/116.png,Class D,25,3
train/Class D/9035.png,Class D,26,2
train/Class D/17.png,Class D,25,3
train/Class D/9182.png,Class D,28,0
train/Class D/9196.png,Class D,24,4
train/Class D/512.png,Class D,26,2
train/Class D/8074.png,Class D,25,3
train/Class D/261.png,Class D,24,4
train/Class D/328 (2).png,Class D,28,0
train/Class D/9140.png,Class D,26,2
train/Class D/9183.png,Class D,23,5
train/Class D/9174 (2).png,Class D,25,3
train/Class D/117.png,Class D,23,5
train/Class D/103.png,Class D,28,0
train/Class D/498.png,Class D,24,4
train/Class D/467.png,Class D,23,5
train/Class D/329.png,Class D,24,4
train/Class D/477.png,Class D,27,1
train/Class D/488.png,Class D,24,4
train/Class D/107.png,Class D,24,4
train/Class D/113.png,Class D,24,4
train/Class D/9128 (2).png,Class D,27,1
train/Class D/9050 (2).png,Class D,27,1
train/Class D/9018.png,Class D,28,0
train/Class D/12.png,Class D,24,4
train/Class D/9024.png,Class D,23,5
train/Class D/9193.png,Class D,23,5
train/Class D/9150.png,Class D,23,5
train/Class D/517.png,Class D,25,3
train/Class D/265.png,Class D,26,2
train/Class D/259.png,Class D,24,4
train/Class D/241 (2).png,Class D,25,3
train/Class D/264.png,Class D,26,2
train/Class D/516.png,Class D,26,2
train/Class D/9186.png,Class D,28,0
train/Class D/13.png,Class D,26,2
train/Class D/9025.png,Class D,27,1
train/Class D/106.png,Class D,24,4
train/Class D/489.png,Class D,28,0
train/Class D/310.png,Class D,28,0
train/Class D/476.png,Class D,26,2
train/Class D/304.png,Class D,23,5
train/Class D/474.png,Class D,27,1
train/Class D/312.png,Class D,24,4
train/Class D/306.png,Class D,24,4
train/Class D/9143 (2).png,Class D,23,5
train/Class D/110.png,Class D,26,2
train/Class D/138.png,Class D,27,1
train/Class D/39.png,Class D,27,1
train/Class D/9027.png,Class D,24,4
train/Class D/9184.png,Class D,23,5
train/Class D/9198 (2).png,Class D,26,2
train/Class D/9153.png,Class D,28,0
train/Class D/500.png,Class D,25,3
train/Class D/514.png,Class D,25,3
train/Class D/528.png,Class D,24,4
train/Class D/9049 (2).png,Class D,26,2
train/Class D/9152.png,Class D,23,5
train/Class D/517 (2).png,Class D,23,5
train/Class D/9026.png,Class D,23,5
train/Class D/10.png,Class D,27,1
train/Class D/38.png,Class D,26,2
train/Class D/139.png,Class D,27,1
train/Class D/111.png,Class D,28,0
train/Class D/9076 (2).png,Class D,24,4
train/Class D/449.png,Class D,28,0
train/Class D/322.png,Class D,27,1
train/Class D/493.png,Class D,24,4
train/Class D/108.png,Class D,24,4
train/Class D/347 (2).png,Class D,28,0
train/Class D/134.png,Class D,28,0
train/Class D/120.png,Class D,27,1
train/Class D/9003.png,Class D,24,4
train/Class D/9017.png,Class D,24,4
train/Class D/21.png,Class D,23,5
train/Class D/9001 (2).png,Class D,27,1
train/Class D/9073 (2).png,Class D,24,4
train/Class D/9163.png,Class D,28,0
train/Class D/8122 (2).png,Class D,23,5
train/Class D/530.png,Class D,23,5
train/Class D/8042.png,Class D,27,1
train/Class D/280.png,Class D,25,3
train/Class D/9162.png,Class D,25,3
train/Class D/9016.png,Class D,23,5
train/Class D/20.png,Class D,28,0
train/Class D/34.png,Class D,26,2
train/Class D/9002.png,Class D,24,4
train/Class D/135.png,Class D,28,0
train/Class D/109.png,Class D,26,2
train/Class D/492.png,Class D,27,1
train/Class D/445.png,Class D,23,5
train/Class D/323.png,Class D,23,5
train/Class D/9134 (2).png,Class D,26,2
train/Class D/309.png,Class D,24,4
train/Class D/447.png,Class D,28,0
train/Class D/335.png,Class D,23,5
train/Class D/9014.png,Class D,25,3
train/Class D/9160.png,Class D,24,4
train/Class D/9174.png,Class D,24,4
train/Class D/8098 (2).png,Class D,24,4
train/Class D/9148.png,Class D,28,0
train/Class D/8159 (2).png,Class D,28,0
train/Class D/533.png,Class D,24,4
train/Class D/527.png,Class D,23,5
train/Class D/241.png,Class D,28,0
train/Class D/282.png,Class D,24,4
train/Class D/283.png,Class D,28,0
